lgID,yearID,slugging_pct,dh_state
NL,1946,0.355490093600038,No DH
AL,1946,0.36414214351665525,No DH
NL,1947,0.3903944949804402,No DH
AL,1947,0.36445883529355744,No DH
NL,1948,0.3825492237788716,No DH
AL,1948,0.3816391887083383,No DH
NL,1949,0.38905668329001897,No DH
AL,1949,0.37886678346012626,No DH
AL,1950,0.4024807225222251,No DH
NL,1950,0.401027913994719,No DH
NL,1951,0.38965904833270887,No DH
AL,1951,0.3813413281084016,No DH
NL,1952,0.3737284493051244,No DH
AL,1952,0.36547959448921236,No DH
NL,1953,0.4113135861535214,No DH
AL,1953,0.3832097832758865,No DH
NL,1954,0.40702405596402313,No DH
AL,1954,0.37333269703405,No DH
AL,1955,0.381065117057656,No DH
NL,1955,0.4069135566035477,No DH
NL,1956,0.40086979378240817,No DH
AL,1956,0.39393434427595403,No DH
NL,1957,0.3997996225447937,No DH
AL,1957,0.3823088098697216,No DH
AL,1958,0.3830966318011707,No DH
NL,1958,0.40514438934105307,No DH
AL,1959,0.3840911257268135,No DH
NL,1959,0.3999055043704229,No DH
NL,1960,0.38792204097116845,No DH
AL,1960,0.38756632726229745,No DH
NL,1961,0.4050987466767945,No DH
AL,1961,0.3947435523823401,No DH
AL,1962,0.3939607885732906,No DH
NL,1962,0.39281141228876987,No DH
AL,1963,0.37981494610168876,No DH
NL,1963,0.3638669415907888,No DH
NL,1964,0.3740684465668186,No DH
AL,1964,0.38175063428778544,No DH
AL,1965,0.36928369081343587,No DH
NL,1965,0.3740542102316846,No DH
AL,1966,0.36864391109796235,No DH
NL,1966,0.3838403899972917,No DH
AL,1967,0.35135384558592814,No DH
NL,1967,0.36330098498891433,No DH
NL,1968,0.34121246335111904,No DH
AL,1968,0.3392541287307528,No DH
NL,1969,0.36908944350656264,No DH
AL,1969,0.369384765625,No DH
AL,1970,0.3788351732013704,No DH
NL,1970,0.3919506507184232,No DH
AL,1971,0.36411874816293066,No DH
NL,1971,0.3663869626572387,No DH
AL,1972,0.3430127041742287,No DH
NL,1972,0.3645985170162875,No DH
NL,1973,0.37585304220194593,No DH
AL,1973,0.381450298750679,with DH
AL,1974,0.3714644782266368,with DH
NL,1974,0.3667462091463783,No DH
NL,1975,0.36909624519681705,No DH
AL,1975,0.37900598124550644,with DH
AL,1976,0.3607919526411103,with DH
NL,1976,0.3611237730574042,No DH
NL,1977,0.39644677661169414,No DH
AL,1977,0.4051374959560013,with DH
AL,1978,0.38466974650246694,with DH
NL,1978,0.3715544232304009,No DH
NL,1979,0.3848202396804261,No DH
AL,1979,0.4083880892782645,with DH
AL,1980,0.3990987058340181,with DH
NL,1980,0.37447187349106714,No DH
NL,1981,0.3639299949603702,No DH
AL,1981,0.37256213960994233,with DH
NL,1982,0.37268158700934156,No DH
AL,1982,0.4023444521480112,with DH
NL,1983,0.37579317376021426,No DH
AL,1983,0.4006502100975315,with DH
NL,1984,0.36936239930824194,No DH
AL,1984,0.39776665383134385,with DH
AL,1985,0.4055813712673285,with DH
NL,1985,0.37380351879425083,No DH
AL,1986,0.4079171836228288,with DH
NL,1986,0.37999391449870684,No DH
AL,1987,0.42548734884796774,with DH
NL,1987,0.4035095660570946,No DH
AL,1988,0.39059801311603143,with DH
NL,1988,0.3625825541845248,No DH
AL,1989,0.383746298893564,with DH
NL,1989,0.36517920901894646,No DH
NL,1990,0.38286745088527774,No DH
AL,1990,0.3875911458333333,with DH
AL,1991,0.39483009677460923,with DH
NL,1991,0.37258471659144804,No DH
NL,1992,0.36820891890247615,No DH
AL,1992,0.3850052497180707,with DH
NL,1993,0.3988824220211901,No DH
AL,1993,0.4076845663561531,with DH
NL,1994,0.41456018014091667,No DH
AL,1994,0.4340555817239755,with DH
AL,1995,0.42700152469721814,with DH
NL,1995,0.40750771191472723,No DH
AL,1996,0.4449993678088254,with DH
NL,1996,0.4080246039814183,No DH
AL,1997,0.42813318847063336,with DH
NL,1997,0.4101654080799969,No DH
AL,1998,0.43150632523974697,with DH
NL,1998,0.41018038331454343,No DH
NL,1999,0.42918290997741854,No DH
AL,1999,0.4391751785577145,with DH
AL,2000,0.4433651189733535,with DH
NL,2000,0.43163967862253927,No DH
NL,2001,0.42533484676503974,No DH
AL,2001,0.42811068164947397,with DH
NL,2002,0.41000523953800944,No DH
AL,2002,0.42416568108191494,with DH
NL,2003,0.4171736819487481,No DH
AL,2003,0.4275772241447562,with DH
NL,2004,0.42296495226918823,No DH
AL,2004,0.4331965807623427,with DH
NL,2005,0.41407172038129825,No DH
AL,2005,0.42438151249760275,with DH
AL,2006,0.43687019886110295,with DH
NL,2006,0.427457115843501,No DH
NL,2007,0.4226106001854977,No DH
AL,2007,0.4227910184688482,with DH
AL,2008,0.4200258579858933,with DH
NL,2008,0.4128901179524804,No DH
NL,2009,0.40866369304992944,No DH
AL,2009,0.4280125697428333,with DH
AL,2010,0.40675384357210165,with DH
NL,2010,0.3993923946931252,No DH
NL,2011,0.39122096256199,No DH
AL,2011,0.4078570876189003,with DH
NL,2012,0.40032341084565104,No DH
AL,2012,0.41099216136988775,with DH
NL,2013,0.38851130729229655,No DH
AL,2013,0.4043655552890381,with DH
NL,2014,0.38258719132996327,No DH
AL,2014,0.39012066455734273,with DH
NL,2015,0.39694139282775975,No DH
AL,2015,0.41220000965763676,with DH
NL,2016,0.41207720699461486,No DH
AL,2016,0.4227142271422714,with DH
NL,2017,0.423042904050501,No DH
AL,2017,0.4287641207216321,with DH
NL,2018,0.403338894127318,No DH
AL,2018,0.41549993954781766,with DH
AL,2019,0.43893390140861926,with DH
NL,2019,0.43074108840590175,No DH
NL,2020,0.42117078812204495,No DH
AL,2020,0.4142283419391853,with DH
AL,2021,0.41468212498616863,with DH
NL,2021,0.4068284452384497,No DH
NL,2022,0.3979228159561048,with DH
AL,2022,0.39180600371565466,with DH
AL,2023,0.411824012438657,with DH
NL,2023,0.41649816064511413,with DH
AL,2024,0.394494850416871,with DH
NL,2024,0.40391101586567146,with DH
