lgID,yearID,league_wide_era,dh_state
AL,2024,4.3999257161428105,with DH
NL,2024,4.510149539640363,with DH
NL,2023,4.737311906274699,with DH
AL,2023,4.633957950349899,with DH
NL,2022,4.434608830364058,with DH
AL,2022,4.264410291298163,with DH
NL,2021,4.599949840901609,No DH
AL,2021,4.6965869347989,with DH
AL,2020,4.8115948238923645,with DH
NL,2020,4.898344026356858,No DH
NL,2019,4.74129574526826,No DH
AL,2019,4.986568723875092,with DH
AL,2018,4.60165892093195,with DH
NL,2018,4.3519126517523095,No DH
AL,2017,4.71705294951612,with DH
NL,2017,4.679711462877048,No DH
AL,2016,4.52103095645736,with DH
NL,2016,4.516731708816028,No DH
NL,2015,4.238179306109917,No DH
AL,2015,4.323617534532827,with DH
AL,2014,4.1501620894244295,with DH
NL,2014,4.005546642218657,No DH
AL,2013,4.307254883976887,with DH
NL,2013,4.044933020048213,No DH
NL,2012,4.305659504991981,No DH
AL,2012,4.427902390929258,with DH
AL,2011,4.453114215283484,with DH
NL,2011,4.1708828084667005,No DH
AL,2010,4.463718652619083,with DH
NL,2010,4.397415722226232,No DH
NL,2009,4.529871854075272,No DH
AL,2009,4.815118968935889,with DH
AL,2008,4.721561969439729,with DH
NL,2008,4.658847938218598,No DH
AL,2007,4.876815065664492,with DH
NL,2007,4.795904906655961,No DH
NL,2006,4.884902969270001,No DH
AL,2006,4.938571641568511,with DH
AL,2005,4.734588701684837,with DH
NL,2005,4.571381060485562,No DH
AL,2004,5.029830106677203,with DH
NL,2004,4.689363172902445,No DH
AL,2003,4.922076637824475,with DH
NL,2003,4.6409109921968525,No DH
NL,2002,4.497468080502056,No DH
AL,2002,4.848145209283873,with DH
NL,2001,4.753073400459385,No DH
AL,2001,4.903626379062979,with DH
AL,2000,5.339854029094881,with DH
NL,2000,5.072384937238494,No DH
NL,1999,4.994323093769812,No DH
AL,1999,5.313481653660967,with DH
AL,1998,5.060048857784234,with DH
NL,1998,4.625086058519793,No DH
AL,1997,4.980262397887614,with DH
NL,1997,4.632925765629372,No DH
AL,1996,5.419978623694812,with DH
NL,1996,4.7122578737246785,No DH
AL,1995,5.1193257676902535,with DH
NL,1995,4.650033229951263,No DH
NL,1994,4.652751335035988,No DH
AL,1994,5.268570357703389,with DH
AL,1993,4.7504903819209785,with DH
NL,1993,4.521148979524764,No DH
AL,1992,4.339514978601997,with DH
NL,1992,3.8770523027694184,No DH
NL,1991,4.1175737591779615,No DH
AL,1991,4.491610244333235,with DH
NL,1990,4.231953820190242,No DH
AL,1990,4.3460782532578,with DH
NL,1989,3.938462415877723,No DH
AL,1989,4.340121896833655,with DH
AL,1988,4.395006687472136,with DH
NL,1988,3.8727355936081764,No DH
NL,1987,4.5422061108234075,No DH
AL,1987,4.9519533893409475,with DH
NL,1986,4.170568370442448,No DH
AL,1986,4.654726942748721,with DH
AL,1985,4.600326991676575,with DH
NL,1985,4.068232107431711,No DH
NL,1984,4.077323334736198,No DH
AL,1984,4.4498520710059175,with DH
AL,1983,4.516197426162418,with DH
NL,1983,4.11986713246664,No DH
AL,1982,4.498008359970494,with DH
NL,1982,4.07693330799924,No DH
NL,1981,3.8946026471093793,No DH
AL,1981,4.0868768419227814,with DH
NL,1980,4.031337351917701,No DH
AL,1980,4.5155668497417825,with DH
NL,1979,4.227658760520276,No DH
AL,1979,4.724943894938076,with DH
AL,1978,4.244387502066457,with DH
NL,1978,4.0198846153846155,No DH
AL,1977,4.560077136075949,with DH
NL,1977,4.39646017699115,No DH
NL,1976,3.989784617734667,No DH
AL,1976,3.994485259040168,with DH
